,from,mid,last,TA,S,predict,real
3793,676123,676124,676122,Default Transition,Default Rephrase,,Restating
3794,676149,676151,676150,Default Transition,Default Rephrase,,Default Illocuting
3795,676161,676163,676162,Default Transition,Default Inference,,Arguing
3796,676174,676176,676175,Default Transition,Default Inference,,Arguing
3797,676177,676179,676178,Default Transition,Default Rephrase,,Default Illocuting
3798,676193,676200,676199,Default Transition,Default Inference,,Arguing
3799,676222,676223,676221,Default Transition,Default Inference,,Arguing
3800,676229,676230,676228,Default Transition,Default Inference,,Arguing
3801,676255,676257,676256,Default Transition,Default Inference,,Arguing
3802,676244,676259,676243,Default Transition,Default Rephrase,,Restating
3803,676250,676260,676249,Default Transition,Default Inference,,Arguing
3804,676238,676261,676258,Default Transition,Default Rephrase,,Restating
3805,676270,676272,676271,Default Transition,Default Inference,,Arguing
3806,676286,676288,676285,Default Transition,Default Rephrase,,Default Illocuting
3807,676323,676325,676324,Default Transition,Default Rephrase,,Default Illocuting
3808,676336,676338,676334,Default Transition,Default Rephrase,,Default Illocuting
3809,676337,676339,676335,Default Transition,Default Rephrase,,Default Illocuting
3810,676287,676341,676340,Default Transition,Default Rephrase,,Restating
3811,676348,676349,676318,Default Transition,Default Rephrase,,Restating
3812,676347,676351,676350,Default Transition,Default Inference,,Arguing
3813,676367,676368,676366,Default Transition,Default Rephrase,,Restating
3814,676384,676385,676383,Default Transition,Default Inference,,Arguing
3815,676402,676403,676401,Default Transition,Default Conflict,,Disagreeing
3816,676419,676420,676418,Default Transition,Default Rephrase,,Restating
3817,676373,676422,676421,Default Transition,Default Inference,,Arguing
3818,676488,676490,676489,Default Transition,Default Inference,,Arguing
3819,676491,676493,676492,Default Transition,Default Rephrase,,Restating
3820,676487,676495,676494,Default Transition,Default Inference,,Arguing
3821,676496,676498,676497,Default Transition,Default Rephrase,,Restating
3822,676501,676503,676502,Default Transition,Default Inference,,Arguing
3823,676505,676507,676506,Default Transition,Default Inference,,Arguing
3824,676508,676510,676509,Default Transition,Default Inference,,Arguing
3825,676526,676527,676525,Default Transition,Default Inference,,Arguing
3826,676537,676539,676538,Default Transition,Default Rephrase,,Restating
3827,676574,676575,676573,Default Transition,Default Inference,,Arguing
3828,676536,676577,676576,Default Transition,Default Rephrase,,Restating
3829,676549,676579,676578,Default Transition,Default Rephrase,,Default Illocuting
3830,676581,676582,676580,Default Transition,Default Rephrase,,Default Illocuting
3831,676597,676599,676598,Default Transition,Default Rephrase,,Restating
3832,676624,676631,676630,Default Transition,Default Inference,,Arguing
3833,676642,676643,676641,Default Transition,Default Rephrase,,Restating
3834,676699,676700,676698,Default Transition,Default Rephrase,,Restating
3835,676697,676702,676701,Default Transition,Default Rephrase,,Restating
3836,676705,676707,676706,Default Transition,Default Conflict,,Arguing
3837,676708,676710,676709,Default Transition,Default Rephrase,,Restating
3838,676738,676740,676739,Default Transition,Default Inference,,Arguing
3839,676762,676763,676756,Default Transition,Default Inference,,Arguing
3840,676769,676771,676770,Default Transition,Default Rephrase,,Restating
3841,676793,676795,676794,Default Transition,Default Conflict,,Disagreeing
3842,676809,676810,676808,Default Transition,Default Inference,,Arguing
3843,676813,676814,676812,Default Transition,Default Rephrase,,Restating
3844,676848,676849,676847,Default Transition,Default Inference,,Arguing
3845,676863,676865,676864,Default Transition,Default Rephrase,,Restating
3846,676894,676896,676895,Default Transition,Default Inference,,Arguing
3847,676879,676904,676903,Default Transition,Default Inference,,Arguing
3848,676913,676915,676914,Default Transition,Default Inference,,Arguing
3849,676920,676922,676921,Default Transition,Default Inference,,Pure Questioning
3850,676927,676929,676928,Default Transition,Default Inference,,Pure Questioning
3851,676934,676936,676935,Default Transition,Default Conflict,,Disagreeing
3852,676941,676942,676935,Default Transition,Default Conflict,,Disagreeing
3853,676947,676949,676948,Default Transition,Default Inference,,Arguing
3854,676954,676956,676955,Default Transition,Default Inference,,Arguing
3855,676967,676969,676968,Default Transition,Default Inference,,Arguing
3856,676974,676976,676975,Default Transition,Default Inference,,Arguing
3857,676981,676983,676982,Default Transition,Default Conflict,,Disagreeing
3858,676988,676990,676989,Default Transition,Default Inference,,Arguing
3859,676995,676997,676996,Default Transition,Default Inference,,Arguing
3860,677006,677013,677012,Default Transition,Default Rephrase,,Restating
3861,677033,677035,677034,Default Transition,Default Rephrase,,Restating
3862,677040,677042,677041,Default Transition,Default Rephrase,,Restating
3863,677068,677070,677069,Default Transition,Default Rephrase,,Restating
3864,677011,677077,677076,Default Transition,Default Rephrase,,Restating
3865,677092,677093,677090,Default Transition,Default Rephrase,,Restating
3866,677103,677105,677104,Default Transition,Default Inference,,Arguing
3867,677115,677116,677114,Default Transition,Default Conflict,,Disagreeing
3868,677121,677123,677122,Default Transition,Default Rephrase,,Restating
3869,677139,677140,677138,Default Transition,Default Inference,,Arguing
3870,677162,677164,677163,Default Transition,Default Rephrase,,Restating
3871,677184,677187,677183,Default Transition,Default Inference,,Arguing
3872,677190,677191,677189,Default Transition,Default Rephrase,,Restating
3873,677194,677195,677193,Default Transition,Default Inference,,Arguing
3874,677165,677197,677196,Default Transition,Default Inference,,Arguing
3875,677279,677281,677280,Default Transition,Default Inference,,Arguing
3876,677292,677293,677291,Default Transition,Default Inference,,Arguing
3877,677299,677300,677298,Default Transition,Default Inference,,Arguing
3878,677324,677326,677325,Default Transition,Default Inference,,Arguing
3879,677332,677333,677331,Default Transition,Default Inference,,Arguing
3880,677338,677340,677339,Default Transition,Default Inference,,Arguing
3881,677349,677351,677350,Default Transition,Default Conflict,,Disagreeing
3882,677368,677369,677366,Default Transition,Default Inference,,Arguing
3883,677383,677385,677384,Default Transition,Default Rephrase,,Default Illocuting
3884,677395,677409,677408,Default Transition,Default Inference,,Arguing
3885,677406,677410,677407,Default Transition,Default Inference,,Arguing
3886,677404,677411,677405,Default Transition,Default Inference,,Arguing
3887,677413,677414,677412,Default Transition,Default Rephrase,,Restating
3888,677424,677426,677425,Default Transition,Default Rephrase,,Restating
3889,677431,677433,677432,Default Transition,Default Inference,,Arguing
3890,677438,677440,677439,Default Transition,Default Inference,,Arguing
3891,677451,677458,677456,Default Transition,Default Inference,,Arguing
3892,677457,677460,677459,Default Transition,Default Inference,,Arguing
3893,677466,677468,677467,Default Transition,Default Inference,,Arguing
3894,677478,677480,677479,Default Transition,Default Inference,,Arguing
3895,677485,677492,677491,Default Transition,Default Inference,,Arguing
3896,677490,677494,677493,Default Transition,Default Inference,,Arguing
3897,677499,677501,677500,Default Transition,Default Rephrase,,Restating
3898,677567,677568,677566,Default Transition,Default Inference,,Arguing
3899,677601,677602,677600,Default Transition,Default Rephrase,,Restating
3900,677521,677604,677603,Default Transition,Default Rephrase,,Restating
3901,677630,677632,677629,Default Transition,Default Inference,,Arguing
3902,677633,677635,677634,Default Transition,Default Conflict,,Disagreeing
3903,677659,677660,677658,Default Transition,Default Rephrase,,Restating
3904,677662,677663,677661,Default Transition,Default Inference,,Arguing
3905,677607,677665,677664,Default Transition,Default Inference,,Arguing
3906,677666,677668,677667,Default Transition,Default Rephrase,,Restating
3907,677597,677598,677596,Default Transition,Default Rephrase,,Restating
3908,677617,677618,677616,Default Transition,Default Rephrase,,Default Illocuting
3909,677643,677644,677642,Default Transition,Default Rephrase,,Restating
3910,677627,677646,677645,Default Transition,Default Inference,,Arguing
3911,677706,677707,677705,Default Transition,Default Conflict,,Disagreeing
3912,677547,677711,677710,Default Transition,Default Rephrase,,Restating
3913,677718,677719,677717,Default Transition,Default Conflict,,Disagreeing
3914,677730,677731,677729,Default Transition,Default Rephrase,,Default Illocuting
3915,677740,677742,677741,Default Transition,Default Inference,,Arguing
3916,677766,677767,677764,Default Transition,Default Rephrase,,Restating
3917,677769,677770,677768,Default Transition,Default Inference,,Arguing
3918,677772,677773,677771,Default Transition,Default Inference,,Arguing
3919,677775,677776,677774,Default Transition,Default Inference,,Arguing
3920,677777,677778,677765,Default Transition,Default Rephrase,,Restating
3921,677802,677804,677803,Default Transition,Default Inference,,Arguing
3922,677792,677848,677847,Default Transition,Default Inference,,Arguing
3923,677849,677851,677850,Default Transition,Default Rephrase,,Restating
3924,677809,677853,677852,Default Transition,Default Rephrase,,Restating
3925,677828,677855,677854,Default Transition,Default Rephrase,,Restating
3926,677833,677857,677856,Default Transition,Default Inference,,Arguing
3927,677858,677860,677859,Default Transition,Default Inference,,Arguing
3928,677876,677878,677877,Default Transition,Default Rephrase,,Default Illocuting
3929,677888,677890,677889,Default Transition,Default Rephrase,,Default Illocuting
3930,677895,677897,677896,Default Transition,Default Rephrase,,Restating
3931,677902,677904,677903,Default Transition,Default Rephrase,,Restating
3932,677909,677911,677910,Default Transition,Default Rephrase,,Default Illocuting
3933,677920,677922,677921,Default Transition,Default Rephrase,,Restating
3934,677927,677929,677928,Default Transition,Default Rephrase,,Default Illocuting
3935,677930,677932,677931,Default Transition,Default Rephrase,,Restating
3936,677934,677935,677933,Default Transition,Default Rephrase,,Restating
3937,677945,677947,677946,Default Transition,Default Inference,,Arguing
3938,677975,677979,677978,Default Transition,Default Rephrase,,Restating
3939,677974,677980,677977,Default Transition,Default Rephrase,,Restating
3940,677982,677983,677981,Default Transition,Default Inference,,Arguing
3941,677985,677987,677986,Default Transition,Default Inference,,Arguing
3942,677997,677999,677998,Default Transition,Default Rephrase,,Restating
3943,678015,678016,678014,Default Transition,Default Rephrase,,Restating
3944,678027,678029,678028,Default Transition,Default Rephrase,,Restating
3945,678055,678057,678056,Default Transition,Default Rephrase,,Default Illocuting
3946,678078,678080,678079,Default Transition,Default Rephrase,,Default Illocuting
3947,678089,678091,678090,Default Transition,Default Rephrase,,Default Illocuting
3948,678096,678098,678097,Default Transition,Default Rephrase,,Restating
3949,678108,678110,678109,Default Transition,Default Rephrase,,Restating
3950,678119,678122,678121,Default Transition,Default Inference,,Arguing
3951,678124,678125,678123,Default Transition,Default Rephrase,,Restating
3952,678045,678127,678126,Default Transition,Default Rephrase,,Restating
3953,678141,678143,678142,Default Transition,Default Inference,,Arguing
3954,678148,678150,678149,Default Transition,Default Rephrase,,Restating
3955,678154,678157,678156,Default Transition,Default Inference,,Arguing
3956,678167,678169,678168,Default Transition,Default Inference,,Arguing
3957,678174,678176,678175,Default Transition,Default Inference,,Arguing
3958,681330,681331,681329,Default Transition,Default Rephrase,,Restating
3959,681336,681338,681337,Default Transition,Default Rephrase,,Default Illocuting
3960,681361,681362,681360,Default Transition,Default Inference,,Arguing
3961,681358,681364,681363,Default Transition,Default Inference,,Arguing
3962,681380,681381,681379,Default Transition,Default Inference,,Arguing
3963,681386,681393,681392,Default Transition,Default Rephrase,,Restating
3964,681407,681409,681408,Default Transition,Default Inference,,Arguing
3965,681416,681417,681415,Default Transition,Default Inference,,Arguing
3966,681466,681467,681465,Default Transition,Default Rephrase,,Restating
3967,681471,681472,681470,Default Transition,Default Rephrase,,Restating
3968,681469,681474,681473,Default Transition,Default Inference,,Arguing
3969,681476,681478,681477,Default Transition,Default Inference,,Arguing
3970,681475,681480,681479,Default Transition,Default Inference,,Arguing
3971,681490,681491,681489,Default Transition,Default Inference,,Arguing
3972,681502,681503,681500,Default Transition,Default Inference,,Arguing
3973,681514,681515,681513,Default Transition,Default Inference,,Arguing
3974,681520,681522,681521,Default Transition,Default Inference,,Arguing
3975,681551,681553,681552,Default Transition,Default Inference,,Arguing
3976,681545,681555,681554,Default Transition,Default Rephrase,,Default Illocuting
3977,681565,681567,681566,Default Transition,Default Rephrase,,Restating
3978,681587,681588,681586,Default Transition,Default Inference,,Arguing
3979,681599,681601,681600,Default Transition,Default Inference,,Arguing
3980,681610,681612,681611,Default Transition,Default Inference,,Arguing
3981,681614,681615,681613,Default Transition,Default Rephrase,,Restating
3982,681629,681631,681630,Default Transition,Default Inference,,Arguing
3983,681642,681644,681643,Default Transition,Default Rephrase,,Restating
3984,681649,681651,681650,Default Transition,Default Inference,,Arguing
3985,681661,681664,681663,Default Transition,Default Inference,,Arguing
3986,681662,681666,681665,Default Transition,Default Inference,,Arguing
3987,681687,681688,681686,Default Transition,Default Rephrase,,Restating
3988,681693,681695,681694,Default Transition,Default Rephrase,,Restating
3989,681705,681707,681706,Default Transition,Default Rephrase,,Restating
3990,681713,681714,681712,Default Transition,Default Rephrase,,Restating
3991,681719,681721,681720,Default Transition,Default Rephrase,,Restating
3992,681731,681733,681732,Default Transition,Default Inference,,Arguing
3993,681680,681735,681734,Default Transition,Default Rephrase,,Restating
3994,681755,681756,681754,Default Transition,Default Inference,,Arguing
3995,681761,681763,681762,Default Transition,Default Inference,,Arguing
3996,681768,681770,681769,Default Transition,Default Rephrase,,Restating
3997,681781,681783,681782,Default Transition,Default Rephrase,,Default Illocuting
3998,681807,681808,681806,Default Transition,Default Inference,,Arguing
3999,681804,681809,681805,Default Transition,Default Inference,,Arguing
4000,681814,681816,681815,Default Transition,Default Inference,,Arguing
4001,681830,681832,681831,Default Transition,Default Rephrase,,Restating
4002,681821,681835,681834,Default Transition,Default Inference,,Arguing
4003,681836,681837,681833,Default Transition,Default Inference,,Arguing
4004,681857,681859,681858,Default Transition,Default Rephrase,,Restating
4005,681869,681871,681870,Default Transition,Default Inference,,Arguing
4006,681876,681878,681877,Default Transition,Default Inference,,Arguing
4007,681883,681885,681884,Default Transition,Default Inference,,Arguing
4008,681890,681892,681891,Default Transition,Default Inference,,Arguing
4009,681902,681904,681903,Default Transition,Default Inference,,Arguing
4010,681909,681911,681910,Default Transition,Default Inference,,Arguing
4011,681941,681943,681942,Default Transition,Default Rephrase,,Default Illocuting
4012,681926,681945,681944,Default Transition,Default Inference,,Arguing
4013,682004,682006,682005,Default Transition,Default Rephrase,,Restating
4014,682008,682010,682009,Default Transition,Default Conflict,,Challenging
4015,682012,682014,682013,Default Transition,Default Rephrase,,Restating
4016,682018,682020,682019,Default Transition,Default Rephrase,,Restating
4017,682025,682027,682026,Default Transition,Default Inference,,Arguing
4018,682028,682030,682029,Default Transition,Default Rephrase,,Restating
4019,682039,682041,682040,Default Transition,Default Rephrase,,Restating
4020,682092,682093,682091,Default Transition,Default Rephrase,,Restating
4021,682118,682145,682144,Default Transition,Default Rephrase,,Restating
4022,682123,682153,682152,Default Transition,Default Inference,,Arguing
4023,682128,682155,682154,Default Transition,Default Inference,,Arguing
4024,682150,682157,682156,Default Transition,Default Rephrase,,Restating
4025,682108,682159,682158,Default Transition,Default Rephrase,,Restating
4026,682151,682161,682160,Default Transition,Default Inference,,Arguing
4027,682163,682164,682162,Default Transition,Default Conflict,,Disagreeing
4028,682167,682168,682166,Default Transition,Default Inference,,Arguing
4029,682246,682248,682247,Default Transition,Default Inference,,Arguing
4030,682273,682275,682274,Default Transition,Default Rephrase,,Restating
4031,682240,682277,682276,Default Transition,Default Inference,,Arguing
4032,682313,682315,682314,Default Transition,Default Rephrase,,Restating
4033,682319,682320,682318,Default Transition,Default Inference,,Arguing
4034,682323,682324,682322,Default Transition,Default Inference,,Arguing
4035,682339,682340,682338,Default Transition,Default Rephrase,,Restating
4036,682342,682343,682341,Default Transition,Default Rephrase,,Restating
4037,682346,682347,682345,Default Transition,Default Inference,,Arguing
4038,682317,682349,682348,Default Transition,Default Inference,,Arguing
4039,682359,682360,682358,Default Transition,Default Inference,,Arguing
4040,682361,682363,682362,Default Transition,Default Rephrase,,Restating
4041,682372,682379,682378,Default Transition,Default Conflict,,Disagreeing
4042,682385,682386,682384,Default Transition,Default Conflict,,Disagreeing
4043,682405,682407,682406,Default Transition,Default Inference,,Arguing
4044,682391,682411,682408,Default Transition,Default Inference,,Arguing
4045,682410,682412,682409,Default Transition,Default Inference,,Arguing
4046,682428,682430,682429,Default Transition,Default Inference,,Arguing
4047,682432,682433,682431,Default Transition,Default Conflict,,Disagreeing
4048,682513,682515,682514,Default Transition,Default Inference,,Arguing
4049,682526,682528,682527,Default Transition,Default Inference,,Arguing
4050,682536,682539,682538,Default Transition,Default Inference,,Arguing
4051,682541,682542,682540,Default Transition,Default Inference,,Arguing
4052,682461,682544,682543,Default Transition,Default Inference,,Arguing
4053,682496,682546,682545,Default Transition,Default Inference,,Arguing
4054,682682,682683,682681,Default Transition,Default Rephrase,,Default Illocuting
4055,682773,682774,682772,Default Transition,Default Rephrase,,Restating
4056,682788,682790,682786,Default Transition,Default Rephrase,,Restating
4057,682789,682791,682787,Default Transition,Default Rephrase,,Restating
4058,682802,682803,682801,Default Transition,Default Inference,,Arguing
4059,682808,682810,682809,Default Transition,Default Rephrase,,Default Illocuting
4060,682816,682817,682815,Default Transition,Default Rephrase,,Restating
4061,682830,682831,682829,Default Transition,Default Inference,,Agreeing
4062,682696,682698,682697,Default Transition,Default Rephrase,,Restating
4063,682720,682738,682737,Default Transition,Default Rephrase,,Restating
4064,682750,682762,682761,Default Transition,Default Inference,,Arguing
4065,682716,682718,682717,Default Transition,Default Inference,,Arguing
4066,682740,682742,682741,Default Transition,Default Inference,,Arguing
4067,682754,682755,682753,Default Transition,Default Rephrase,,Restating
4068,682780,682781,682779,Default Transition,Default Inference,,Arguing
4069,682796,682798,682797,Default Transition,Default Rephrase,,Restating
4070,682889,682890,682884,Default Transition,Default Inference,,Arguing
4071,682895,682897,682896,Default Transition,Default Inference,,Arguing
4072,682902,682904,682903,Default Transition,Default Rephrase,,Restating
4073,682909,682911,682910,Default Transition,Default Rephrase,,Default Illocuting
4074,682921,682923,682922,Default Transition,Default Rephrase,,Restating
4075,682929,682930,682928,Default Transition,Default Inference,,Arguing
4076,682935,682937,682936,Default Transition,Default Inference,,Arguing
4077,682947,682948,682946,Default Transition,Default Inference,,Arguing
4078,682984,682985,682983,Default Transition,Default Rephrase,,Restating
4079,682987,682988,682986,Default Transition,Default Inference,,Arguing
4080,682990,682991,682989,Default Transition,Default Conflict,,Disagreeing
4081,683007,683009,683008,Default Transition,Default Inference,,Arguing
4082,683011,683012,683010,Default Transition,Default Rephrase,,Restating
4083,683033,683034,683032,Default Transition,Default Inference,,Arguing
4084,683044,683046,683045,Default Transition,Default Rephrase,,Restating
4085,683061,683062,683059,Default Transition,Default Inference,,Arguing
4086,683073,683074,683072,Default Transition,Default Conflict,,Disagreeing
4087,683102,683103,683101,Default Transition,Default Rephrase,,Restating
4088,683096,683105,683104,Default Transition,Default Inference,,Arguing
4089,683115,683116,683114,Default Transition,Default Rephrase,,Restating
4090,683138,683139,683137,Default Transition,Default Inference,,Arguing
4091,683141,683142,683140,Default Transition,Default Inference,,Arguing
4092,683160,683163,683162,Default Transition,Default Inference,,Arguing
4093,683184,683186,683185,Default Transition,Default Rephrase,,Default Illocuting
4094,683191,683193,683192,Default Transition,Default Inference,,Arguing
4095,683204,683205,683203,Default Transition,Default Inference,,Arguing
4096,683215,683217,683216,Default Transition,Default Inference,,Arguing
4097,683247,683249,683248,Default Transition,Default Inference,,Arguing
4098,683259,683261,683260,Default Transition,Default Inference,,Arguing
4099,683275,683277,683276,Default Transition,Default Inference,,Arguing
4100,683279,683280,683278,Default Transition,Default Rephrase,,Restating
4101,683290,683291,683289,Default Transition,Default Rephrase,,Default Illocuting
4102,683296,683298,683297,Default Transition,Default Rephrase,,Restating
4103,683304,683306,683305,Default Transition,Default Rephrase,,Default Illocuting
4104,683457,683458,683456,Default Transition,Default Inference,,Arguing
4105,683460,683461,683459,Default Transition,Default Inference,,Arguing
4106,683464,683465,683462,Default Transition,Default Inference,,Arguing
4107,683467,683468,683466,Default Transition,Default Rephrase,,Restating
4108,683473,683474,683472,Default Transition,Default Inference,,Arguing
4109,683475,683477,683476,Default Transition,Default Rephrase,,Restating
4110,683479,683481,683480,Default Transition,Default Rephrase,,Restating
4111,683482,683484,683483,Default Transition,Default Rephrase,,Restating
4112,683486,683488,683487,Default Transition,Default Rephrase,,Restating
4113,683422,683424,683423,Default Transition,Default Inference,,Arguing
4114,683498,683500,683499,Default Transition,Default Conflict,,Disagreeing
4115,683505,683507,683506,Default Transition,Default Rephrase,,Restating
4116,683513,683514,683512,Default Transition,Default Rephrase,,Restating
4117,683532,683533,683531,Default Transition,Default Conflict,,Disagreeing
4118,683544,683552,683545,Default Transition,Default Inference,,Arguing
4119,683563,683565,683564,Default Transition,Default Inference,,Arguing
4120,683559,683561,683560,Default Transition,Default Inference,,Arguing
4121,683567,683569,683568,Default Transition,Default Conflict,,Disagreeing
4122,683571,683574,683573,Default Transition,Default Inference,,Arguing
4123,683575,683576,683572,Default Transition,Default Conflict,,Challenging
4124,683579,683580,683578,Default Transition,Default Rephrase,,Restating
4125,683583,683584,683582,Default Transition,Default Conflict,,Challenging
4126,683588,683590,683589,Default Transition,Default Inference,,Arguing
4127,683586,683592,683591,Default Transition,Default Rephrase,,Restating
4128,683663,683670,683669,Default Transition,Default Inference,,Arguing
4129,683680,683682,683681,Default Transition,Default Rephrase,,Restating
4130,683696,683698,683697,Default Transition,Default Conflict,,Disagreeing
4131,683703,683705,683704,Default Transition,Default Inference,,Arguing
4132,683715,683717,683716,Default Transition,Default Rephrase,,Default Illocuting
4133,683719,683720,683718,Default Transition,Default Inference,,Arguing
4134,683733,683757,683756,Default Transition,Default Rephrase,,Restating
4135,683759,683760,683758,Default Transition,Default Inference,,Arguing
4136,683769,683770,683768,Default Transition,Default Rephrase,,Restating
4137,683779,683782,683780,Default Transition,Default Inference,,Arguing
4138,683783,683784,683781,Default Transition,Default Inference,,Arguing
4139,683793,683800,683799,Default Transition,Default Rephrase,,Default Illocuting
4140,683818,683819,683817,Default Transition,Default Inference,,Arguing
4141,683839,683841,683840,Default Transition,Default Conflict,,Disagreeing
4142,683854,683856,683855,Default Transition,Default Rephrase,,Restating
4143,683858,683859,683857,Default Transition,Default Inference,,Arguing
4144,683883,683885,683884,Default Transition,Default Inference,,Arguing
4145,683878,683887,683886,Default Transition,Default Inference,,Arguing
4146,683897,683899,683898,Default Transition,Default Inference,,Arguing
4147,683868,683919,683918,Default Transition,Default Inference,,Arguing
4148,683917,683921,683920,Default Transition,Default Inference,,Arguing
4149,683983,683985,683984,Default Transition,Default Rephrase,,Restating
4150,683953,683987,683986,Default Transition,Default Inference,,Arguing
4151,683958,683989,683988,Default Transition,Default Inference,,Arguing
4152,683977,683991,683990,Default Transition,Default Conflict,,Disagreeing
4153,683978,683993,683992,Default Transition,Default Inference,,Arguing
4154,683967,683995,683994,Default Transition,Default Inference,,Arguing
4155,683948,683997,683996,Default Transition,Default Inference,,Arguing
4156,684057,684059,684058,Default Transition,Default Conflict,,Challenging
4157,684061,684063,684062,Default Transition,Default Inference,,Arguing
4158,684067,684069,684068,Default Transition,Default Inference,,Arguing
4159,684071,684073,684072,Default Transition,Default Rephrase,,Restating
4160,684075,684077,684076,Default Transition,Default Inference,,Arguing
4161,684088,684090,684089,Default Transition,Default Rephrase,,Restating
4162,684119,684120,684118,Default Transition,Default Conflict,,Disagreeing
4163,684122,684123,684121,Default Transition,Default Rephrase,,Default Illocuting
4164,684129,684130,684128,Default Transition,Default Inference,,Arguing
4165,684140,684142,684141,Default Transition,Default Inference,,Arguing
4166,684146,684148,684147,Default Transition,Default Rephrase,,Restating
4167,684154,684156,684155,Default Transition,Default Rephrase,,Default Illocuting
4168,684172,684173,684171,Default Transition,Default Rephrase,,Restating
4169,684179,684180,684178,Default Transition,Default Conflict,,Disagreeing
4170,684185,684187,684186,Default Transition,Default Inference,,Arguing
4171,684211,684248,684247,Default Transition,Default Inference,,Arguing
4172,684249,684250,684227,Default Transition,Default Inference,,Arguing
4173,684258,684260,684241,Default Transition,Default Inference,,Arguing
4174,684269,684277,684275,Default Transition,Default Inference,,Arguing
4175,684274,684278,684276,Default Transition,Default Inference,,Arguing
4176,684306,684308,684307,Default Transition,Default Inference,,Arguing
4177,684322,684324,684323,Default Transition,Default Rephrase,,Restating
4178,684330,684331,684329,Default Transition,Default Inference,,Restating
4179,684333,684334,684332,Default Transition,Default Rephrase,,Restating
4180,684295,684337,684336,Default Transition,Default Rephrase,,Restating
4181,684347,684349,684348,Default Transition,Default Inference,,Arguing
4182,684359,684361,684360,Default Transition,Default Conflict,,Disagreeing
4183,684388,684390,684389,Default Transition,Default Inference,,Arguing
4184,684395,684397,684396,Default Transition,Default Rephrase,,Restating
4185,684372,684404,684373,Default Transition,Default Inference,,Arguing
4186,684387,684405,684379,Default Transition,Default Conflict,,Disagreeing
4187,684402,684406,684403,Default Transition,Default Rephrase,,Restating
4188,684481,684482,684480,Default Transition,Default Conflict,,Disagreeing
4189,684491,684492,684490,Default Transition,Default Rephrase,,Default Illocuting
4190,684536,684537,684535,Default Transition,Default Rephrase,,Default Illocuting
4191,684570,684571,684569,Default Transition,Default Conflict,,Disagreeing
4192,684512,684575,684574,Default Transition,Default Inference,,Arguing
4193,684521,684522,684520,Default Transition,Default Rephrase,,Default Illocuting
4194,684530,684532,684531,Default Transition,Default Inference,,Arguing
4195,684556,684557,684555,Default Transition,Default Rephrase,,Default Illocuting
4196,684586,684587,684585,Default Transition,Default Inference,,Arguing
4197,684608,684609,684607,Default Transition,Default Rephrase,,Restating
4198,684580,684611,684610,Default Transition,Default Inference,,Arguing
4199,684644,684645,684643,Default Transition,Default Inference,,Arguing
4200,684630,684675,684674,Default Transition,Default Inference,,Arguing
4201,684676,684678,684677,Default Transition,Default Rephrase,,Restating
4202,684680,684681,684679,Default Transition,Default Inference,,Arguing
4203,684620,684685,684684,Default Transition,Default Rephrase,,Restating
4204,684646,684687,684686,Default Transition,Default Rephrase,,Restating
4205,684683,684689,684688,Default Transition,Default Inference,,Arguing
4206,684708,684710,684709,Default Transition,Default Inference,,Arguing
4207,684703,684712,684711,Default Transition,Default Inference,,Arguing
4208,684725,684726,684723,Default Transition,Default Rephrase,,Restating
4209,684721,684727,684724,Default Transition,Default Rephrase,,Restating
4210,684738,684740,684739,Default Transition,Default Inference,,Arguing
4211,684747,684749,684748,Default Transition,Default Inference,,Arguing
4212,684780,684782,684781,Default Transition,Default Inference,,Arguing
4213,684784,684785,684783,Default Transition,Default Rephrase,,Restating
4214,684805,684806,684804,Default Transition,Default Rephrase,,Restating
4215,684817,684818,684816,Default Transition,Default Inference,,Arguing
4216,684823,684825,684824,Default Transition,Default Inference,,Arguing
4217,684789,684791,684790,Default Transition,Default Inference,,Arguing
4218,684813,684814,684812,Default Transition,Default Conflict,,Disagreeing
4219,684839,684841,684840,Default Transition,Default Inference,,Arguing
4220,684851,684866,684865,Default Transition,Default Inference,,Arguing
4221,684834,684869,684868,Default Transition,Default Inference,,Arguing
4222,684871,684872,684870,Default Transition,Default Rephrase,,Default Illocuting
4223,684909,684911,684910,Default Transition,Default Inference,,Arguing
4224,684916,684918,684917,Default Transition,Default Inference,,Arguing
4225,684938,684940,684939,Default Transition,Default Inference,,Arguing
4226,685044,685045,685043,Default Transition,Default Inference,,Arguing
4227,685058,685059,685056,Default Transition,Default Inference,,Arguing
4228,685073,685075,685074,Default Transition,Default Rephrase,,Default Illocuting
4229,685089,685090,685088,Default Transition,Default Rephrase,,Restating
4230,685125,685127,685126,Default Transition,Default Conflict,,Disagreeing
4231,685143,685145,685144,Default Transition,Default Rephrase,,Restating
4232,685184,685186,685185,Default Transition,Default Inference,,Arguing
4233,685136,685200,685199,Default Transition,Default Conflict,,Disagreeing
4234,685202,685203,685201,Default Transition,Default Inference,,Arguing
4235,685205,685206,685204,Default Transition,Default Rephrase,,Restating
4236,685294,685296,685295,Default Transition,Default Rephrase,,Default Illocuting
4237,685299,685300,685298,Default Transition,Default Rephrase,,Restating
4238,685301,685305,685304,Default Transition,Default Rephrase,,Default Illocuting
4239,685306,685308,685307,Default Transition,Default Rephrase,,Restating
4240,685310,685312,685311,Default Transition,Default Inference,,Arguing
4241,685313,685315,685314,Default Transition,Default Rephrase,,Restating
4242,685316,685318,685317,Default Transition,Default Conflict,,Disagreeing
4243,685319,685321,685320,Default Transition,Default Rephrase,,Restating
