,from,mid,last,I1,I2,predict,real
975,553123,553136,553128,"all of a sudden on Sunday evening, no one could come in",we’re closing down,,Default Inference
976,553118,553139,553114,Iran and Brazil are the two highest hotbeds of the disease,until Sunday you could come from Iran or Brazil with impunity,,Default Conflict
977,553148,553151,553143,"opening Rocco Forte's hotel in the countries with that kind of social distancing is still difficult, but a metre makes it possible","with Rocco Forte's hotels in other countries where the distancing is a metre or one and a half metres, Rocco Forte can or cannot open economically, profitably, with that kind of social distancing",,Default Rephrase
978,553169,553172,553165,"from March until July is four months, a third of the year",the tourism industry will continue to be without income in this country until July,,Default Rephrase
979,553165,553174,553155,the tourism industry will continue to be without income in this country until July,the tourism industry has suffered disproportionately,,Default Inference
980,553160,553174,553155,effectively  the tourism industry has been without income since March,the tourism industry has suffered disproportionately,,Default Inference
981,553155,553181,553179,the tourism industry has suffered disproportionately,"many, many businesses in the tourism industry will go under",,Default Inference
982,553186,553197,553179,"you impose quarantine which stops foreigners coming into this country, just when there was a chance to save something out of the summer season","many, many businesses in the tourism industry will go under",,Default Inference
983,553191,553199,553186,quarantine is another nail in the coffin,"you impose quarantine which stops foreigners coming into this country, just when there was a chance to save something out of the summer season",,Default Rephrase
984,553195,553202,553186,a two metre rule makes it impossible for the people to open properly,"you impose quarantine which stops foreigners coming into this country, just when there was a chance to save something out of the summer season",,Default Inference
985,553209,553216,553213,the Welsh Government hasn’t got the means of funding their own policies,"the furlough scheme ceases, regardless of what Welsh Government says",,Default Inference
986,553220,553223,553213,"Ffestiniog Railway are going to be facing the situation, and many, many other businesses, where they’ll be making redundancies this summer","the furlough scheme ceases, regardless of what Welsh Government says",,Default Inference
987,553246,553248,553242,"until people have that confidence, then we’re going to see the same problem coming up","we need an effective test and trace system in place, that is seen by people to work, both in Wales and in England",,Default Inference
988,553257,553266,553253,these people dependant on the furlough scheme will go out of business and there will be immense suffering in the terms of unemployment,"the Welsh government and the UK government, the English government in this respect, look at what’s happening to our tourism and hospitality industry, look at our dependants on the furlough scheme",,Default Inference
989,553263,553267,553257,"we need these industries into the future, and Liz Saville-Roberts fears what will happen this summer",these people dependant on the furlough scheme will go out of business and there will be immense suffering in the terms of unemployment,,Default Inference
990,553234,553270,553242,"the question of public confidence, because at the heel of the hunt, it will be public confidence that changes this","we need an effective test and trace system in place, that is seen by people to work, both in Wales and in England",,Default Inference
991,553278,553288,553286,there are zero coronavirus admissions going into Gwent Hospital,there’s no evidence to suggest keeping a lockdown in place in Wales,,Default Inference
992,553282,553288,553286,there are really low coronavirus admissions going into Heath Hospital,there’s no evidence to suggest keeping a lockdown in place in Wales,,Default Inference
993,553297,553299,553293,the government has or has not taken into account what impact lockdown restrictions are going to have on the economy in Wales,the government has or has not taken into account what impact lockdown restrictions are going to have on small businesses,,Default Rephrase
994,553274,553306,553304,more than 95 per cent of Welsh businesses are small and micro businesses,the Welsh economy could be severely affected if we keep some of these guidelines in place,,Default Inference
995,553322,553324,553317,the Welsh economy is very dependant on the public sector,the economy in Wales has always been unstable,,Default Inference
996,553333,553335,553329,we’re not leading the way in reopening,we should have been leading the way in reopening,,Default Conflict
997,553345,553340,553333,we’re weeks behind what Westminster’s doing in terms of reopening,we’re not leading the way in reopening,,Default Rephrase
998,553349,553352,553345,"the Welsh Assembly sits on its hands for three weeks, in between thawing out a few little tit bits of minor relaxing of restrictions",we’re weeks behind what Westminster’s doing in terms of reopening,,Default Inference
999,553361,553364,553357,"we have well over 12,000 tests available daily if we need them in Wales",we’re now in a much better place,,Default Inference
1000,553387,553390,553382,"it will help us to maintain public confidence in test, trace and protect, if we can turn around those tests even faster",Vaughan Gething wants to see us get better,,Default Inference
1001,553387,553397,553394,"it will help us to maintain public confidence in test, trace and protect, if we can turn around those tests even faster","Vaughan Gething is committed to understanding what we can do to make it better, openly publishing the data we have, and to give that confidence to people",,Default Inference
1002,553394,553404,553401,"Vaughan Gething is committed to understanding what we can do to make it better, openly publishing the data we have, and to give that confidence to people",the facts don’t bear out the comments that Liz has actually made,,Default Inference
1003,553368,553422,553357,"to give you an idea, if that were equivalent for the whole of the UK, we’d have a UK capacity of well over 260,000 tests",we’re now in a much better place,,Default Inference
1004,553426,553433,553430,the government health advice not just propaganda,people are confused by the different information that’s coming out from the government,,Default Inference
1005,553446,553448,553437,the report from Stanford 0.1 to 0.2 per cent was not peer reviewed,Rocco Forte talked about this report from Stanford 0.1 to 0.2 per cent,,Default Conflict
1006,553453,553456,553446,Fiona Bruce expects Rocco Forte to know the Stanford report was not peer reviewed,the report from Stanford 0.1 to 0.2 per cent was not peer reviewed,,Default Rephrase
1007,553462,553464,553446,other scientists have come out with different figures in terms of statistics for deaths coming from coronavirus,the report from Stanford 0.1 to 0.2 per cent was not peer reviewed,,Default Inference
1008,553474,553476,553469,the German government's reaction to Coronavirus was unnecessary,there’s a report by experts in the German government which was leaked which says that the German government’s reaction to Coronavirus was completely over the top,,Default Rephrase
1009,553492,553495,553486,"the 2017 and 2018 influenca epidemic killed 25,000 people in Germany and 28,000 in the UK",the 2017 and 2018 influenca epidemic killed one and a half million people across the world,,Default Rephrase
1010,553481,553501,553499,the leaked German report compared the Coronavirus to the 2017 and ’18 influenca epidemic,the economy of the world was not locked down during the 2017 and 2018 influenca epidemic as it was during the Coronavirus pandemic,,Default Inference
1011,553511,553519,553516,the Hong Kong Flu killed over a million people worldwide,"we had 80,000 in the UK killed by the Hong Kong Flu",,Default Inference
1012,553528,553531,553523,the Hong Kong Flu wasn’t talked about,Rocco Forte doesn't remember anything about the Hong Kong Flu,,Default Rephrase
1013,553534,553555,553542,three and a half million jobs are at risk in the hospitality sector in England,the government is coming under a lot of pressure from Conservative MPs to do more for businesses like Rosina’s,,Default Inference
1014,553579,553582,553574,it will not all be well,Rosina Allen is right to remind us that Covid-19 isn’t going to be something that we will have an end date to,,Default Rephrase
1015,553599,553603,553574,Covid-19 isn’t a problem for weeks or months,Rosina Allen is right to remind us that Covid-19 isn’t going to be something that we will have an end date to,,Default Rephrase
1016,553611,553614,553607,in fact the debate is happening across the country,"within government, we’re right to have the debate about the two metres social distancing",,Default Rephrase
1017,553618,553621,553607,there are different international standards,"within government, we’re right to have the debate about the two metres social distancing",,Default Inference
1018,553625,553628,553552,we’ve got to be clear about that it is right that we stick to the social distancing on two metres,government doing more for businesses like Rosina's and reduction of the two metre distance is or is not happening,,Default Rephrase
1019,553570,553630,553559,without the people's confidence other things will happen,Rosina makes a really important point about the confidence that people will have,,Default Rephrase
1020,553552,553634,553586,government doing more for businesses like Rosina's and reduction of the two metre distance is or is not happening,we have extended things like the furlough scheme into October,,Default Rephrase
1021,553590,553637,553552,"in Wales, about 418 thousand people have been supported through various government schemes",government doing more for businesses like Rosina's and reduction of the two metre distance is or is not happening,,Default Rephrase
1022,553641,553643,553599,Covid-19 is a problem that is going to endure for a much longer period,Covid-19 isn’t a problem for weeks or months,,Default Rephrase
1023,553653,553656,553649,"you will always have a minority, perhaps who won’t do the right thing, but the majority can be trusted","Robert Buckland has never underestimated the sense of the Welsh public or the British public, to do the right thing",,Default Rephrase
1024,553660,553663,553653,"frankly, rather than blind trusting government, government should be trusting people to do the right thing","you will always have a minority, perhaps who won’t do the right thing, but the majority can be trusted",,Default Rephrase
1025,553667,553670,553660,weak governance is very much Robert Buckland's approach,"frankly, rather than blind trusting government, government should be trusting people to do the right thing",,Default Rephrase
1026,553681,553684,553677,"people doing it because they know, from their own information and their own research, and their own understanding, that it is the right thing to do","there is still, actually, from all the evidence that I’m seeing, a high degree of, not so much people just doing it because the government are telling them to do it",,Default Rephrase
1027,553649,553687,553681,"Robert Buckland has never underestimated the sense of the Welsh public or the British public, to do the right thing","people doing it because they know, from their own information and their own research, and their own understanding, that it is the right thing to do",,Default Rephrase
1028,553714,553722,553706,so how do you keep people safe,how do you keep people safe,,Default Rephrase
1029,553697,553725,553710,if the hospitality industry does open up,you can’t open up with social distancing,,Default Inference
1030,553735,553878,553731,in a way that’s gradually breaking down already,people have been terrified by the government propaganda,,Default Inference
1031,553741,553882,553735,you see it with the people on the beaches,in a way that’s gradually breaking down already,,Default Inference
1032,553749,553893,553735,you see it with people in the parks,in a way that’s gradually breaking down already,,Default Inference
1033,553757,553895,553735,They’re not social distancing and two metres,in a way that’s gradually breaking down already,,Default Inference
1034,553757,553904,553764,They’re not social distancing and two metres,"the only place Rocco Forte has seen social distancing happening is here, tonight",,Default Inference
1035,553772,553910,553764,and we’re doing it very well,"the only place Rocco Forte has seen social distancing happening is here, tonight",,Default Inference
1036,553780,553916,553731,COVID-19 precautions are not just propaganda,people have been terrified by the government propaganda,,Default Conflict
1037,553789,553932,553926,it’s about the livelihoods of millions of people,it’s not about the economy,,Default Inference
1038,553798,553937,553789,we’re not talking about thousands here,it’s about the livelihoods of millions of people,,Default Rephrase
1039,553807,553939,553789,"we’re talking about millions of people who are going to lose their jobs, and their families",it’s about the livelihoods of millions of people,,Default Rephrase
1040,553815,553942,553807,and it’ll affect their health and everything else,"we’re talking about millions of people who are going to lose their jobs, and their families",,Default Inference
1041,553823,553946,553926,"you can’t just sweep it aside, oh it’s just the economy",it’s not about the economy,,Default Rephrase
1042,553831,553949,553823,"what about the resorts in Wales, like Rhyl, Llandudno, Porthcawl, which depend entirely on a summer season","you can’t just sweep it aside, oh it’s just the economy",,Default Inference
1043,553831,553952,553839,"what about the resorts in Wales, like Rhyl, Llandudno, Porthcawl, which depend entirely on a summer season",those people are not going to be able to function,,Default Inference
1044,553847,553954,553839,they’re not going to survive,those people are not going to be able to function,,Default Rephrase
1045,553856,553957,553847,"they’ve had one winter, they’re going into another winter",they’re not going to survive,,Default Inference
1046,553864,553960,553856,"and the summer which should have lifted them up, is not going to be there if you carry on like this","they’ve had one winter, they’re going into another winter",,Default Inference
1047,553847,553964,553872,they’re not going to survive,so all those businesses are going to be devastated and all the jobs that go with them.,,Default Inference
1048,553761,553777,553771,Betsi Cadwaladr Health Board has been in special measures for five years,"Liz SavilleRoberts gets people concerned about with her, is that they just can’t get the results from their tests back again",,Default Inference
1049,553742,553777,553771,North Wales is representing a highly rural area,"Liz SavilleRoberts gets people concerned about with her, is that they just can’t get the results from their tests back again",,Default Inference
1050,553771,553802,553797,"Liz SavilleRoberts gets people concerned about with her, is that they just can’t get the results from their tests back again","when it comes down to people’s experience on the ground, and that critical way that we need to be getting people’s confidence back",,Default Inference
1051,553812,553818,553797,the people of Wales need to see the tests working,"when it comes down to people’s experience on the ground, and that critical way that we need to be getting people’s confidence back",,Default Inference
1052,553826,553832,553812,the people of Wales seeing the tests working is the only way that’s going to unlock people’s confidence,the people of Wales need to see the tests working,,Default Rephrase
1053,553871,553877,553861,it’s somehow a widespread problem in Wales with late test results,"test results in Wales, over 90 per cent of the people get their test results within 48 hours",,Default Conflict
1054,553884,553890,553871,Wales having a peoblem with late test results simply doesn’t match the facts,it’s somehow a widespread problem in Wales with late test results,,Default Conflict
1055,553884,553894,553861,Wales having a peoblem with late test results simply doesn’t match the facts,"test results in Wales, over 90 per cent of the people get their test results within 48 hours",,Default Rephrase
1056,553913,553919,553903,equipment was delayed in other countries,"when it comes to our testing capacity, the review that Vaughan Gething ordered into where we were, revealed that we couldn’t meet those early aspirations about the number of tests we wanted",,Default Inference
1057,553927,553933,553913,some countries stopped the export of testing equipment,equipment was delayed in other countries,,Default Rephrase
1058,554007,554101,554003,there is a privacy issue,Bernadine Evaristo makes of what she is hearing xxx,,Default Rephrase
1059,554010,554113,554007,there’s a trust issue,there is a privacy issue,,Default Rephrase
1060,554033,554124,554026,it was glaringly obvious to Bernadine Evaristo that she should go into lockdown,Bernadine Evaristo went into lockdown some 10 days before the government told her to,,Default Inference
1061,554026,554128,554017,Bernadine Evaristo went into lockdown some 10 days before the government told her to,"Bernadine Evaristo certainly hasn't taken her lead from this government, in terms of the pandemic",,Default Rephrase
1062,554049,554135,554033,Bernadine Evaristo zaps around London on the tube all the time,it was glaringly obvious to Bernadine Evaristo that she should go into lockdown,,Default Inference
1063,554065,554145,554057,people were coughing and spluttering and sniffing,"the week before Bernadine Evaristo went into lockdown, the tube was heaving",,Default Rephrase
1064,554072,554149,554081,"Bernadine Evaristo knows people who continued to travel around London, who got the virus",Bernadine Evaristo did not take her leadership from this government,,Default Inference
1065,554097,554156,554089,we all knew that you shouldn’t be making physical contact with people,we know about Boris and him shaking hands with coronavirus patients in a hospital,,Default Rephrase
1066,554040,554046,554030,"the week before Rocco Forte emerged with the symptoms, which was actually coincided with lockdown, he worked cheek by jowl with six senior executives in his office","well, it’s very peculiar this virus, and it doesn’t affect everybody in the same way",,Default Inference
1067,554054,554061,554040,"we were planning for the issues that we had to face, and none of them got the disease","the week before Rocco Forte emerged with the symptoms, which was actually coincided with lockdown, he worked cheek by jowl with six senior executives in his office",,Default Inference
1068,554116,554121,554088,"500,000 deaths were based on a computer model, completely false assumptions","a lot of the modelling that’s taking place, is based on assumptions that are completely wrong",,Default Inference
1069,554069,554160,554078,"in Rocco Forte's household, which has 11 people and two children, and they were all together in it, only four people got the disease",the others didn't catch it because xxx,,Default Inference
1070,554175,554178,554170,"with today's test and trace results showing that a third of people who are testing positive are not providing any details for those close contacts, the system is or is not up to scratch","with today’s test and trace results showing that a third of people who are testing positive are not providing any details for those close contacts, the system is or is not good enough",,Default Rephrase
1071,554210,554213,554206,we have less than a hundred people each day who are new infections,we’ve got low numbers,,Default Rephrase
1072,554206,554216,554201,we’ve got low numbers,"today Vaughan Gething had a meeting with his oversight group for their test, trace, protect system, and that’s had a very good start to that",,Default Inference
1073,554225,554227,554201,we don’t have any kind of significant problem with people not giving their data,"today Vaughan Gething had a meeting with his oversight group for their test, trace, protect system, and that’s had a very good start to that",,Default Inference
1074,554234,554241,554238,COVID-19 is not known to science for more than perhaps six months,we cannot say for certain how it will pan out,,Default Inference
1075,554256,554264,554250,the second wave is based on the Spanish Flu,this whole two metre distance is based principally on the Spanish Flu,,Default Rephrase
1076,554268,554276,554273,the last two coronaviruses petered out on their own,COVID-19 will probably happen peter out on his own,,Default Inference
1077,554364,554368,554360,"whilst it’s right of the UK government to consider the evidence and to constantly evaluate and question and make adjustments, the two metre rule certainly stays for the foreseeable",clarity is something that people demand from government,,Default Inference
1078,554372,554375,554364,the two meter social distancing rule is confusing,"whilst it’s right of the UK government to consider the evidence and to constantly evaluate and question and make adjustments, the two metre rule certainly stays for the foreseeable",,Default Conflict
1079,554378,554402,554372,some countries are going for a metre of social distancing,the two meter social distancing rule is confusing,,Default Inference
1080,554382,554402,554372,the WHO is suggesting a metre of social distancing,the two meter social distancing rule is confusing,,Default Inference
1081,554391,554402,554372,other countries are going for one and a half metres of social distancing,the two meter social distancing rule is confusing,,Default Inference
1082,554420,554442,554410,the social distancing range is a question of two stages,"it’s all one science, so xxx is how the social distancing range decision is made",,Default Rephrase
1083,554428,554447,554420,the evidence and the advice you get from SAGE and the scientists about the Coronavirus forms part of a decision making,the social distancing range is a question of two stages,,Default Inference
1084,554434,554447,554420,"that is ultimately political, the two stage approach to it",the social distancing range is a question of two stages,,Default Inference
1085,554457,554465,554420,there will be a number of different factors in the approach to social distancing range,the social distancing range is a question of two stages,,Default Rephrase
1086,554473,554489,554483,"Robert Buckland thinks the challenge for the UK government now, as we come out of this period of really intense lockdown, is how to get the combination right in regards to the social distancing range",the challenge of how to get the combination of factors in the approach to social distancing right is why there’s been a big debate about the quarantine,,Default Inference
1087,554457,554489,554483,there will be a number of different factors in the approach to social distancing range,the challenge of how to get the combination of factors in the approach to social distancing right is why there’s been a big debate about the quarantine,,Default Inference
1088,554504,554522,554496,"now, the advice that the UK government gets, is that even small adjustments can affect that R rate for coronavirus","at the time of the height of the coronavirus outbreak, quarantine would have made no difference",,Default Inference
1089,554512,554522,554496,"it’s a constant evaluation to see what adjustments we can make, to help people in Rosina’s position, and to get the balance right between the need to open up, but the need to save lives as well","at the time of the height of the coronavirus outbreak, quarantine would have made no difference",,Default Inference
1090,554452,554458,554443,we share the information in a voluntary way,"clearly we’ve got to get the message over again and again, about the importance of sharing that information",,Default Rephrase
1091,554521,554530,554527,a third of the people aren’t handing over their contacts at all,you’re not going to get anywhere near that are you,,Default Inference
1092,554502,554530,554527,"80 per cent of contacts need to be traced, in order for this system to be effective",you’re not going to get anywhere near that are you,,Default Inference
1093,554433,554533,554423,it´s all of our collective duty to do everything we can to do our part,it’s all of our collective duty to work with the authorities,,Default Rephrase
1094,554423,554535,554413,it’s all of our collective duty to work with the authorities,Robert Buckland is concerned about that there´re still people who are not coorperating,,Default Rephrase
1095,554466,554537,554452,we share the information in a spirit of collective coming together to fight this virus,we share the information in a voluntary way,,Default Rephrase
1096,554474,554539,554484,this is only the first week,the figures are encouraging,,Default Inference
1097,554466,554539,554484,we share the information in a spirit of collective coming together to fight this virus,the figures are encouraging,,Default Inference
1098,554413,554540,554405,Robert Buckland is concerned about that there´re still people who are not coorperating,Robert Buckland thinks it is right to draw our attention to the fact that there´re still people who are not coorperating because xxx,,Default Rephrase
1099,554548,554551,554544,we’ve delivered an effective system in partnership between our National Health Service and the authorities that deliver the track and trace system,the contact rate of 94 percent from the track and trace app does show we’ve got an effective system in Britain,,Default Rephrase
1100,554560,554563,554555,in Wales our start on the tracing has been much more effective than than in England,whether we have a good enough tracing system really describes the position in England,,Default Rephrase
1101,554572,554574,554560,"here in Wales, we have a good story to tell about our start to contact tracing",in Wales our start on the tracing has been much more effective than than in England,,Default Rephrase
1102,554594,554596,554589,we actually had to give up on contacting targets because they were so impossible to reach,"we know the fiasco that happened with the testing targets from Wales, where they had to be given up on",,Default Rephrase
1103,554601,554608,554606,"if we go back to the question of the Roche testing contract, when we know that thousands of tests were taken away from Wales, by the UK government, for some reason or other",the people of Wales deserve to hear the full story of the contact tracing,,Default Inference
1104,554617,554621,554613,not releasing the email correspondence of the Roche testing contract incident was the reason as to why we don’t have these tests in Wales,Vaughan Gething is not releasing the actual email correspondence of the Roche testing contract incident,,Default Inference
1105,554634,554637,554629,we simply didn’t have the resources to carry on doing contact tracing,"as with every part of the UK, they stopped contact tracing in the early part of the pandemic",,Default Inference
1106,554671,554674,554666,we can do even more,"a third of the people who tested positive, are not handing over their contacts to then be traced and isolate is or is not good enough",,Default Rephrase
1107,554683,554686,554678,"that’s nearly 27,000 people who will now have the benefit of this test and trace system","let’s remember that that meant that two thirds did the right thing, and of that two thirds, 85 per cent then confirmed that they would self-isolate",,Default Rephrase
1108,554641,554688,554634,that we simply didn’t have the resources to carry on doing contact tracing is the truth of the matter,we simply didn’t have the resources to carry on doing contact tracing,,Default Rephrase
1109,554652,554696,554657,"we’re making choices now, that are all about how we keep Wales safe",we’re actually doing a decent job compared to other parts of the UK,,Default Inference
1110,554701,554708,554705,"we are still at 63,00 excess deaths for this time",the UK is not the highest country in Europe for deaths,,Default Inference
1111,554727,554730,554722,we went into lockdown too late not because Boris Johnson likes to think that he will let people do what they want to do,Boris Johnson likes to think that he will let people do what they want to do,,Default Conflict
1112,554734,554736,554718,Boris Johnson is reluctant to take criticism that the UK went into lockdown too late,we went into lockdown too late,,Default Inference
1113,554722,554736,554718,Boris Johnson likes to think that he will let people do what they want to do,we went into lockdown too late,,Default Inference
1114,554741,554743,554734,it is not right that the UK went into lockdown too late because Boris Johnson likes to let people do what they want to do and he is reluctant to take criticism that the UK went to lockdown too late,Boris Johnson is reluctant to take criticism that the UK went into lockdown too late,,Default Conflict
1115,554751,554754,554746,seventy four per cent of our business are dependant and are using the furlough scheme,"in Wales, Liz Saville-Roberts deeply fears when the furlough scheme starts to scale down in August, when businesses are responsible for taking on their national insurance and their pensions",,Default Inference
1116,554758,554766,554763,"Liz Saville-Roberts represents an area, Dwyfor Meirionnydd, which is deeply dependent on the tourism industry",Liz Saville-Roberts fears what is going to happen with the tourism industry in Dwyfor Meirionnydd,,Default Inference
1117,554718,554783,554713,we went into lockdown too late,"one of the things that the public knows and people should make their own responses, and one of the reasons why people are still keeping to the two metres themselves, is that we went into lockdown too late",,Default Rephrase
1118,554751,554788,554763,seventy four per cent of our business are dependant and are using the furlough scheme,Liz Saville-Roberts fears what is going to happen with the tourism industry in Dwyfor Meirionnydd,,Default Inference
1119,554799,554805,554803,"testing is one thing, tracking is another one",it’s the speed of results of the test which is important,,Default Inference
1120,554816,554819,554803,it took three days for Male Audience Member 8's results to come back,it’s the speed of results of the test which is important,,Default Inference
1121,554824,554826,554811,"Male Audience Member 8 was desperate, because he knew he was needed in work",Male Audience Member 8 was desperate to get back to work when he was tested,,Default Rephrase
1122,554847,554850,554803,"for healthcare workers, Male Audience Member 8 thinks it’s important that the speed of reporting should be quicker",it’s the speed of results of the test which is important,,Default Inference
1123,554855,554858,554803,"the results and the statistics that we look for, we need to have those results quicker",it’s the speed of results of the test which is important,,Default Rephrase
1124,554862,554865,554855,"we need to learn from Korea, where the results come within a day","the results and the statistics that we look for, we need to have those results quicker",,Default Inference
1125,554875,554878,554862,"we needed to learn much quicker from Korea, and other countries who have dealt with it","we need to learn from Korea, where the results come within a day",,Default Inference
1126,554888,554883,554875,"rather than wait for lack of leadership, and not condemning what the Prime Minister’s aid did or the other ingredients within the whole recipe of protecting people","we needed to learn much quicker from Korea, and other countries who have dealt with it",,Default Conflict
1127,554902,554904,554897,to make sure that we are moving in the right direction,"the lack of PPE, hearing stories and the report coming out about ethnic minority doctors, why they’re dying more than the others, these are the issues that we need to have clear recommendations",,Default Inference
1128,554909,554912,554897,we need to protect every life that we can,"the lack of PPE, hearing stories and the report coming out about ethnic minority doctors, why they’re dying more than the others, these are the issues that we need to have clear recommendations",,Default Inference
1129,554924,554931,554919,Boris Johnson wasn’t shaking hands with coronavirus patients in a hospital,Boris Johnson was shaking hands with the staff,,Default Conflict
1130,554940,554943,554935,"yes, Boris Johnson wasn’t shaking hands with the patients",Boris Johnson did or didn't say that he was shaking hands with the staff,,Default Rephrase
1131,554940,554945,554924,"yes, Boris Johnson wasn’t shaking hands with the patients",Boris Johnson wasn’t shaking hands with coronavirus patients in a hospital,,Default Rephrase
1132,554949,554956,554940,Boris Johnson wasn't shaking hands with the patients,"yes, Boris Johnson wasn’t shaking hands with the patients",,Default Rephrase
1133,554965,554967,554949,we perceived Boris Johnson to say that he wasn't shaking hands with the patients,Boris Johnson wasn't shaking hands with the patients,,Default Conflict
1134,554965,554970,554940,we perceived Boris Johnson to say that he wasn't shaking hands with the patients,"yes, Boris Johnson wasn’t shaking hands with the patients",,Default Conflict
1135,554976,554983,554982,people are very suspicious,people are making up their own minds about what they’re going to do,,Default Inference
1136,554976,554990,554988,people are very suspicious,people are not necessarily listening to the government,,Default Inference
1137,555007,555010,555001,Dominic Cummings certainly was brought up a lot in this programme at the time,Dominic Cummings is brought up a lot in this programme,,Default Rephrase
1138,555014,555017,555007,there was quite a lot of conversation about Dominic Cummings,Dominic Cummings certainly was brought up a lot in this programme at the time,,Default Rephrase
1139,555031,555034,555026,Dominic Cummings is the puppet master,Dominic Cummings is the man behind the throne,,Default Rephrase
1140,555039,555047,555044,we know what Dominic Cummings did,it’s a very difficult situation,,Default Inference
1141,555039,555054,555051,we know what Dominic Cummings did,it’s very difficult for people to understand who to listen to,,Default Inference
1142,555039,555056,554976,we know what Dominic Cummings did,people are very suspicious,,Default Inference
1143,555026,555056,554976,Dominic Cummings is the man behind the throne,people are very suspicious,,Default Inference
1144,557892,557895,557888,there is a fair chance face covering will help,Chris Philip would advise them to wear face coverings as Andy Burnham said a moment ago,,Default Inference
1145,557899,557907,557904,they happen to have cierks,it will Pope interpretationly stop it from transmitting,,Default Inference
1146,557916,557919,557911,they see other people are being care,it gives people confidence to go on to public transport,,Default Inference
1147,557933,557935,557923,face covering serves as a reminder,face covering also serves as a prompt or reminder we are not in life as normal at the moment,,Default Rephrase
1148,557928,557938,557923,"we need to behave differently, wash our hands more frequently, be careful, stay alert at the moment",face covering also serves as a prompt or reminder we are not in life as normal at the moment,,Default Rephrase
1149,557953,557957,557948,you can't see it so easily if someone is smiling at you properly,you can still smile and the person can see your smile,,Default Rephrase
1150,557961,557964,557948,you can tell even if they are wearing a face mask,you can still smile and the person can see your smile,,Default Rephrase
1151,557973,557976,557968,you can see it going further than waering face masks in enclosed spaces,at the moment wearing a face mask is a recommendation on the part of the government in enclosed spaces,,Default Rephrase
1152,563281,563284,563268,"Jess Phillips has had people this week, pregnant women saying to me, well I'm in my third trimester can I go out",the eased lockdown rules are very confusing for people,,Default Rephrase
1153,563288,563291,563281,"older people who were shielding saying, what are the rules for me","Jess Phillips has had people this week, pregnant women saying to me, well I'm in my third trimester can I go out",,Default Rephrase
1154,563272,563297,563295,"fundamentally now, people are going to start just doing what they think is right",the new rules need much clearer communication,,Default Inference
1155,563268,563300,563295,the eased lockdown rules are very confusing for people,the new rules need much clearer communication,,Default Inference
1156,563315,563317,563310,we need to listen when the Government speak,"the reality is, we need to be able to trust the Government in what they say",,Default Rephrase
1157,563295,563329,563327,the new rules need much clearer communication,at the moment Jess Phillips feels that the communication is a bit confusing,,Default Inference
1158,563310,563330,563327,"the reality is, we need to be able to trust the Government in what they say",at the moment Jess Phillips feels that the communication is a bit confusing,,Default Inference
1159,563272,563330,563327,"fundamentally now, people are going to start just doing what they think is right",at the moment Jess Phillips feels that the communication is a bit confusing,,Default Inference
1160,563337,563277,563272,it seems there is a changing landscape with the communication that we're hearing,"fundamentally now, people are going to start just doing what they think is right",,Default Inference
1161,563359,563362,563354,you can't quantify the massive impact to people's mental health,nobody can quantify the indirect effect of the lockdown,,Default Inference
1162,563354,563364,563349,nobody can quantify the indirect effect of the lockdown,the lockdown being implemented when it was implemented was the correct time,,Default Conflict
1163,563368,563371,563354,people have been away from education for six months,nobody can quantify the indirect effect of the lockdown,,Default Inference
1164,563389,563398,563394,people are now aware of the risks,people can choose to accept the risks,,Default Inference
1165,563375,563413,563354,people are missing cancer appointments,nobody can quantify the indirect effect of the lockdown,,Default Inference
1166,563354,563415,563385,nobody can quantify the indirect effect of the lockdown,the lockdown should be eased as quickly as possible in a safe way,,Default Inference
1167,563577,563580,563568,George Mpanga doesn't get reliable information from this Government,people making their own decisions on how to approach this pandemic is contingent on them having reliable information,,Default Inference
1168,563584,563587,563577,we're not having consistent clear messaging about this pandemic from the government,George Mpanga doesn't get reliable information from this Government,,Default Rephrase
1169,563591,563594,563584,"when the lockdown was initially imposed, it was very unclear, the details of that lockdown",we're not having consistent clear messaging about this pandemic from the government,,Default Inference
1170,563603,563605,563584,we make arbitrary decisions about what's appropriate behaviour for this pandemic,we're not having consistent clear messaging about this pandemic from the government,,Default Inference
1171,563603,563613,563610,we make arbitrary decisions about what's appropriate behaviour for this pandemic,most of us can't figure out what the threshold for achieving what the Government was once describing as herd immunity would be,,Default Inference
1172,563622,563624,563584,we really need clear and consistent messaging about the pandemic from the government,we're not having consistent clear messaging about this pandemic from the government,,Default Rephrase
1173,563584,563627,563560,we're not having consistent clear messaging about this pandemic from the government,is it or is it not time to allow people to make their own decisions about how they approach this pandemic,,Default Rephrase
1174,563667,563674,563662,one priority of the Government is to protect lives,"now, obviously the Government is dealing with two priorities",,Default Rephrase
1175,563672,563676,563662,the other priority of the Government is to protect the economy,"now, obviously the Government is dealing with two priorities",,Default Rephrase
1176,563640,563692,563636,"a vulnerable person with whom Kofie Unknown lives, happens to be Black, Asian and minority ethnic person like Kofie Unknown",Kofie Unknown also lives with a vulnerable person,,Default Rephrase
1177,563681,563694,563685,Kofie Unknown is just wondering if we're doing both priorities: protecting the economy and saving lives,the Government is going to come up with xxx plan to make sure that two and two don't come together here,,Default Inference
