from,mid,last,L,I,predict,real
542348,542349,542350,Helen Whately : We have learned and the world has learned that actually you have a situation with people who may be asymptomatic carriers of the virus,We have learned and the world has learned that actually you have a situation with people who may be asymptomatic carriers of the virus,,Asserting
542359,542361,542363,"Helen Whately : It is particularly hard, we now know, with older people who do not display the most common set of symptoms","It is particularly hard, we now know, with older people who do not display the most common set of symptoms",,Asserting
542375,542377,542379,"Helen Whately : exactly to do that, to pick up those who may be asymtomatic as well as those who have symptoms","exactly to do that, to pick up those who may be asymtomatic as well as those who have symptoms",,Asserting
542382,542385,542386,Helen Whately : we are now doing testing of all staff and residents in care homes for older people and those with dementia,we are now doing testing of all staff and residents in care homes for older people and those with dementia,,Asserting
542402,542405,542406,Helen Whately : we are learning,we are learning,,Asserting
542356,542358,542360,Elaine Unknown : at the start of this pandemic it was a tsunami and nobody knew what they would do,at the start of this pandemic it was a tsunami and nobody knew what they would do,,Asserting
542366,542368,542370,Elaine Unknown : we saw the horrific pictures of the Italian hospitals where patients were in corridors and couldn't catch a breath,we saw the horrific pictures of the Italian hospitals where patients were in corridors and couldn't catch a breath,,Asserting
542376,542378,542380,Elaine Unknown : the right decision was made at the time to make sure the hospitals were clear,the right decision was made at the time to make sure the hospitals were clear,,Asserting
542387,542389,542391,Elaine Unknown : we wouldn't have those images in our newspapers,we wouldn't have those images in our newspapers,,Asserting
542404,542407,542409,"Elaine Unknown : Nicola Sturgeon has looked back, like Alex said there, and thought -- hindsight is a great thing","Nicola Sturgeon has looked back, like Alex said there, and thought -- hindsight is a great thing",,Asserting
542416,542420,542422,Elaine Unknown : probably would have done things differently,Nicola Sturgeon probably would have done things differently in hindsight,,Asserting
542432,542434,542436,Elaine Unknown : the choice at the time having that tsunami of patients with COVID versus letting elderly patients go into a care home,the choice at the time having that tsunami of patients with COVID versus letting elderly patients go into a care home,,Asserting
542442,542444,542446,Elaine Unknown : we would have probably thought that was going to be a safer place for them at the time,we would have probably thought that a care home was going to be a safer place for elderly patients at the time,,Asserting
542456,542458,542460,Elaine Unknown : It was a lose/lose choice now that we look back at the time to try to get away from those images we were seeing all over the press with people not getting a hospital bed,It was a lose/lose choice now that we look back at the time to try to get away from those images we were seeing all over the press with people not getting a hospital bed,,Asserting
542466,542469,542470,"Elaine Unknown : It didn't come to that, which is a good thing","It didn't come to people not getting a hospital bed, which is a good thing",,Asserting
542474,542476,542478,Elaine Unknown : it is a lose/lose,it is a lose/lose,,Asserting
542482,542484,542486,Elaine Unknown : It is an unfortunate situation,It is an unfortunate situation,,Asserting
542412,542413,542417,Rina   : Was a policy decision regarding the emptying of hospital beds with the patients not being tested and the outrageous consequences on our elderly citizens a planned arrangement,a policy decision regarding the emptying of hospital beds with the patients not being tested and the outrageous consequences on our elderly citizens were or were not a planned arrangement,,Pure Questioning
542421,542423,542425,Rina   : does this not highlight the lack of value and respect we place on the elderly,the policy decision regarding the emptying of hospital beds highlights the lack of value and respect we place on the elderly,,Assertive Questioning
542429,542431,542433,Fiona Bruce : was it a planned arrangement allowing people back into care homes without being tested and does it highlight the lack of value and respect,was it or was it not a planned arrangement allowing people back into care homes without being tested and does it highlight the lack of value and respect,,Asserting
542445,542447,542449,Alex Massie :  The care homes situation I think is one of those areas where governments in all parts of the United Kingdom face a terrible set of choices,the care homes situation is one of those areas where governments in all parts of the United Kingdom face a terrible set of choices,,Asserting
542467,542465,542461,Nicola Sturgeon : we would probably make some decisions differently,we would probably make some decisions differently regarding the care homes situations,,Asserting
542473,542475,542477,"Alex Massie :  at the time when people were released from hospital into care homes, it was because they feared that the NHS and hospitals were going to be overwhelmed with COVID cases","at the time when people were released from hospitals into care homes, it was feared that the NHS and hospitals were going to be overwhelmed with COVID cases",,Asserting
542494,542495,542497,"Alex Massie : what do we do with people who are delayed discharge, bed blocking or whatever","with people who are delayed discharge, bed blocking or whatever we do xxx",,Rhetorical Questioning
542503,542505,542507,"Alex Massie : get them out, almost regardless of their circumstance",we get the people out who are delayed for discharge almost regardless of their circumstance,,Asserting
542558,542559,542560,"John Swinney : the indications from the Treasury are that, for example, on the furlough scheme, that's going to be constrained in August by the Chancellor",the indications from the Treasury are that the furlough scheme is going to be constrained in August by the Chancellor,,Asserting
542562,542563,542564,John Swinney : That's a very damaging move,the furlough scheme being constrained in August is a very damaging move,,Asserting
542567,542568,542569,John Swinney : we know that the implications of COVID are going to be with us for a long time,we know that the implications of COVID are going to be with us for a long time,,Asserting
542574,542575,542577,John Swinney : we are appealing to the UK Government to recognise the longevity of this problem and put in place the support to enable that to be the case,we are appealing to the UK Government to recognise the longevity of the COVID problem and put in place the support to enable that to be the case,,Asserting
542587,542589,542591,"Fiona Bruce : For someone in Jeanette's position, self-employed, which comes to an end in the next three days","Jeanette Unknown is self-employed, which comes to an end in the next three days",,Asserting
542597,542599,542601,Fiona Bruce :  what will the Government do for people like her,the Government will do xxx for Jeanette Unknown and other self-employed people who's job status will end in the next three days,,Pure Questioning
542607,542609,542611,Helen Whately : With this I agree on John,Helen Whatley agrees with John Swinney on this matter,,Agreeing
542617,542619,542621,"Helen Whately : The importance of having the support for people who, for instance, are required to isolate because of test and trace",Helen Whatley agrees with John Swinney on the importance of having the support for people who for instance are required to isolate because of test and trace,,Asserting
542631,542633,542635,Fiona Bruce : It is up to the UK Government,the support for people who are required to isolate because of test and trace is up to the UK Government,,Asserting
542641,542643,542645,Fiona Bruce : what are you going to do,Helen Whatley is going to do xxx about support for people who are required to isolate because of test and trace,,Pure Questioning
542651,542653,542655,Helen Whately : I know that is something the Chancellor will specifically look at on the self employment question,the support for people who are required to isolate because of test and trace is something the Chancellor will specifically look at on the self employment question,,Asserting
542665,542667,542669,"Helen Whately : We know for those who are employed, they will be eligible for statutory sick pay","for those who are employed, they will be eligible for statutory sick pay",,Asserting
542679,542682,542669,Fiona Bruce : Sure,"for those who are employed, they will be eligible for statutory sick pay",,Agreeing
542684,542685,542686,Helen Whately : If they are asked to isolate,for those who are employed they will be eligible for statutory sick pay if they are asked to isolate,,Asserting
542576,542578,542580,Fiona Bruce : This is the tricky thing isn't it,self-isolating more than once is tricky,,Rhetorical Questioning
542594,542590,542586,Alex Massie : you might have to self-isolate more than once,people may have to self-isolate more than once,,Asserting
542600,542604,542602,"Fiona Bruce : If you have to share a bathroom with your family, you have to use it the a different time from them","if you have to share a bathroom with your family, you have to use it at a different time from them when self-isolating",,Asserting
542608,542610,542612,Fiona Bruce : wipe it all down,if you share a bathroom with family and you have to self-isolate then you have to wipe it all down,,Asserting
542616,542618,542620,Fiona Bruce :  You have to put your rush I can in several bags when you put it out,you have to put your rubbish in several bags when you put it out if you are self-isolating with your family,,Asserting
542632,542634,542636,Fiona Bruce : You have to keep away why your family and may have to do this several times,you have to keep away from your family and may have to do this several times while self-isolating,,Asserting
542644,542646,542648,Helen Whately : We are not asking people to self-isolate from their house holds,the UK government are not asking people to self-isolate from their house holds,,Asserting
542658,542662,542660,Fiona Bruce : You are not worried they infect their family,Helen Whatley is or is not worried that people with coronavirus infect their family,,Pure Questioning
542668,542670,542672,Helen Whately : I should different distinguish if you are asked to isolate if you have symptoms,it is different if you are asked to isolate if you have symptoms of Coronavirus,,Asserting
542691,542692,542693,Ian Murray : 46% of all Coronavirus deaths in Scotland have been in our care homes,46% of all Coronavirus deaths in Scotland have been in our care homes,,Asserting
542695,542696,542697,Ian Murray : This was the epicentre of Coronavirus,Carehomes were the epicentre of Coronavirus in Scotland,,Asserting
542702,542703,542704,Ian Murray : we sent people there without testing,we sent people into carehomes without testing,,Asserting
542707,542708,542709,Ian Murray : we sent people there with a lack of PPE,we sent people into carehomes with a lack of PPE,,Asserting
542711,542712,542713,Ian Murray : Scotland does have one of the worst testing rates in the world,Scotland does have one of the worst testing rates in the world,,Asserting
542719,542720,542721,"Ian Murray : We are only doing between 4,000 and 6,000 tests a day","Scotland is only doing between 4,000 and 6,000 tests a day",,Asserting
542726,542727,542728,Ian Murray : How can we possibly protect the residents and staff in care homes without fundamentally testing them regularly and making sure that they are safe,we cannot possibly protect the residents and staff in care homes without fundamentally testing them regularly and making sure that they are safe,,Assertive Questioning
542734,542735,542736,"Fiona Bruce : Was the policy a planned arrangement, putting patients in care homes from hospitals who had not been tested","the policy was or was not a planned arrangement, putting patients in care homes from hospitals who had not been tested",,Pure Questioning
542739,542740,542741,Fiona Bruce : does it highlight the lack of value and respect we place on elderly citizens,the policy does or does not highlight the lack of value and respect we place on elderly citizens,,Pure Questioning
542748,542749,542750,"Helen Whatley : when I became a chemist on 14th February, since then so much of my time and so many people in Government has been on how we can support social care, both care homes and home care through the pandemic","when Helen Whatley became a chemist on 14th February, much of her time and so many people in Government has been on how we can support social care, both care homes and home care through the pandemic",,Asserting
542752,542753,542754,Helen Whatley : We know it is really hard,we know it is really hard to support social care through the pandemic,,Asserting
542758,542759,542760,Helen Whatley : One of the things that we saw early on was looking at Spain and the situation where the army went into care homes where they had been abandoned and people had just been left to die,one of the things that we saw early on was looking at Spain and the situation where the army went into care homes where they had been abandoned and people had just been left to die,,Asserting
542763,542764,542765,Helen Whatley : even from neglect,people were left to die even from neglect in Spain,,Asserting
542770,542771,542772,Helen Whatley :  we have put in place a new reporting symptom so we know what's going on in care homes,we have put in place a new reporting symptom so we know what's going on in care homes,,Asserting
542774,542775,542776,Helen Whatley : we get a picture of where there might be risks of that,we get a picture of where there might be risks of people being abandoned to die in care homes,,Asserting
542781,542782,542783,Helen Whatley : we should recognise in England over 60% of care homes have not had a COVID outbreak,we should recognise in England over 60% of care homes have not had a COVID outbreak,,Asserting
542786,542787,542788,Helen Whatley : lots of care homes have managed to do an amazing job in keeping COVID out of their care homes,lots of care homes have managed to do an amazing job in keeping COVID out of their care homes,,Asserting
542790,542791,542792,Helen Whatley : many of those who have had it have now recovered from outbreaks and things are getting,many of those who have had it have now recovered from outbreaks and things are getting,,Asserting
542798,542799,542800,Alex Massie : the sort of tsunami of COVID cases didn't quite materialise,the sort of tsunami of COVID cases didn't quite materialise,,Asserting
542802,542803,542804,Alex Massie : looks to be a terrible mistake,looks to be a terrible mistake,,Asserting
542807,542808,542809,Alex Massie : with hindsight it was a mistake,with hindsight it was a mistake,,Asserting
542816,542815,542813,Politicians: this was the choice we had available to us,"at the time the mistake was made, it's reasonable for politicians to say that this was the choice they had available to them",,Asserting
542819,542820,542821,Alex Massie : you can only get the public to trust you,you can only get the public to trust you,,Asserting
542824,542825,542826,Alex Massie : you communicate with candor,you communicate with candor,,Asserting
542829,542830,542831,"Alex Massie : you allow that mistakes will be made in a fiercely complicated, unprecedented set of situations","you allow that mistakes will be made in a fiercely complicated, unprecedented set of situations",,Asserting
542836,542837,542838,Alex Massie : you can't just allow that mistakes will be make,you can't just allow that mistakes will be make,,Asserting
542841,542842,542843,Alex Massie : You have to admit to them,you have to admit to the public,,Asserting
542846,542847,542848,Alex Massie : take ownership of them as well,you have to take ownership of the public as well,,Asserting
542851,542852,542853,Alex Massie : you treat people like adults,you treat people like adults,,Asserting
542856,542857,542858,Alex Massie : there is a chance they will understand the position you are coming from,there is a chance they will understand the position you are coming from,,Asserting
542861,542862,542863,Alex Massie : You can't deny that any mistakes took place,you can't deny that any mistakes took place,,Asserting
542865,542866,542867,Alex Massie : It seems to me to be infantilising of Government ministers to try to pretend that could be the case,it seems to Alex Massie to be infantilising of Government ministers to try to pretend that could be the case,,Asserting
542897,542900,542895,Ian Murray : there is a  need for there to be measures to tackle delayed discharges,there need to be measures to tackle delayed discharges,,Asserting
542901,542902,542903,"John Swinney : Then when the Government tackles the issue of delayed discharges, we get criticised for","when the Government tackles the issue of delayed discharges, the Government gets criticised for it by Ian Murray",,Asserting
542908,542909,542910,John Swinney : There are really difficult decisions that have had to be taken here with the best interests of the population at heart,really difficult decisions had to be taken with the best interest of the population at heart,,Asserting
542912,542913,542914,John Swinney : tough decisions in tough circumstances,tough decisions had to be taken under tough circumstances,,Asserting
542919,542920,542921,John Swinney : Many of the measures we have taken have supported care homes,Many of the measures we have taken have supported care homes,,Asserting
542923,542924,542925,John Swinney : to make sure that individuals have had the resources and the equipment and the assistance in place,we took measures to make sure that individuals have the resources and the equipment and the assistance in place,,Asserting
542927,542928,542929,John Swinney : to make sure we are kept safe in very difficult situations,we have taken measures to make sure we are kept safe in very difficult situations,,Asserting
542941,542940,542938,Layla McCay : COVID-19 might have spread in care homes anyway,COVID-19 might have spread in care homes anyway,,Asserting
542946,542947,542948,Layla McCay :  we don't know when this first started circulating,we don't know when COVID-19 first started circulating,,Asserting
542955,542956,542957,Layla McCay : testing has a real impact on this,testing has a real impact on the course of the pandemic,,Asserting
542961,542962,542963,Layla McCay : looking at other countries and care homes,looking at other countries and care homes testing has a real impact on the course of the pandemic,,Asserting
542967,542968,542969,"Layla McCay : people going in and out of care homes, potentially, of course, playing its role","people going in and out of care homes, potentially, of course, playing its role in the course of the pandemic",,Asserting
542974,542975,542976,"Layla McCay :  we really, really want an answer to that","we really, really want an answer to the role of testing in relation to care homes during the pandemic",,Asserting
542983,542984,542985,Layla McCay : we can see that we need an answer,we can see that we need an answer to the role of testing in relatin to care homes during the pandemic,,Asserting
542990,542991,542992,Layla McCay : we need to learn,we need to learn about the role of testing in relation to care homes during the pandemic,,Asserting
542997,542998,542999,Layla McCay :  this really exposes the under-investment and the undervaluing of social care for successive governments,the pandemic really exposes the under-investment and the undervaluing of social care for successive governments,,Asserting
543002,543003,543004,Layla McCay : What we really need here is a bit of a long-term plan,what we really need here is a bit of a long-term plan,,Asserting
543009,543010,543011,Layla McCay : We have seen what's going on in social care,we have seen what's going on in social care,,Asserting
543014,543015,543016,"Layla McCay :  It is really great that the Government has now, you know, giving some money towards social care"," it is really great that the Government has now, you know, given some money towards social care",,Asserting
543023,543022,543020,"British Government : goodness, we need to bolster, for example, your infection control mechanisms","goodness, we need to bolster, for example, your infection control mechanisms",,Asserting
543034,543035,543036,Layla McCay : There is a lot of disparity for that,there is a lot of disparity for PPE supply between carehomes and hospitals,,Asserting
543041,543042,543043,Layla McCay : There is now funding so that care homes are able to get better infection control processes in place and things like that,there is now funding so that care homes are able to get better infection control processes in place and things like that,,Asserting
543046,543047,543048,Layla McCay :  that's a short-term fix,funding so that care homes are able to get better infection control processes in place are a short-term fix,,Asserting
542979,543053,542980,Layla McCay : it is too early to figure out what's going on,it is too early to figure out what's going on,,Asserting
543058,543057,543055,Unkown Speaker : hospitals started to get PPE in,hospitals started to get PPE in,,Asserting
543054,543053,542980,Layla McCay : Our members have been telling us for ages that while hospitals started to get PPE in,it is too early to figure out what's going on,,Asserting
543063,543062,543029,Unkown Speaker : care homes have been in a much worse position for PPE supply than hospitals,care homes have been in a much worse position for PPE supply than hospitals,,Asserting
543068,543069,543070,"Helen Whately : You are being asked to isolate, self-isolate at home -- asking everyone in the household to isolate",one is being asked to self-isolate at home and asking everyone in the household to isolate,,Asserting
543072,543073,543074,Helen Whately : but it is during that period in the possible incubation period to see whether you might contract the virus,it is during the self-isolation period in the possible incubation period to see whether one might contract the virus,,Asserting
543079,543080,543081,"Helen Whately : I recognise there is a risk that you might be asked to do that more than once,",Helen Whately recognizes that there is a risk that one might be asked to do self-isolation more than once,,Asserting
543086,543087,543088,Fiona Bruce : In England you can go to barbecues now.,in England people can go to barbecues now,,Asserting
543092,543093,543094,"Fiona Bruce : I think in Scotland, correct me if I am wrong you can't",in Scotland people can't go to barbecue now,,Asserting
543098,543099,543100,Ian Murray : you can,in Scotland people can go to barbecue now,,Asserting
543102,543103,543100,"Ian Murray : Yes,",in Scotland people can go to barbecue now,,Asserting
543110,543111,543112,Fiona Bruce :  You can go to barbecues,Scottish people can go to barbecues now,,Asserting
543117,543118,543119,Ian Murray : You can.,Scottish people can go to barbecue now,,Asserting
543125,543126,543127,"Ian Murray : Two households, no more than eight people.","two households, no more than eight people, can go to barbecue in Scotland",,Asserting
543131,543132,543133,Ian Murray : It is eight people.,eight people is the maximal amount that can go to barbecue in Scotland,,Asserting
543138,543139,543140,Ian Murray : It is six in England.,six people is the maximal amount that can go to barbecue in England,,Asserting
543142,543143,543144,"Ian Murray : Two households can meet, socially distanced in public or private, outdoor spaces.",two households can meet socially distanced in public or private outdoor spaces,,Asserting
543149,543150,543151,Ian Murray : So you could have a barbecue,people in Scotland could have a barbecue,,Asserting
543156,543157,543158,Ian Murray : this is how ridiculous this situation is,the maximal amount of people allowed to meet in outdoor spaces being 8 in Scotland but 6 in England is how ridiculous this situation is,,Asserting
543164,543165,543166,"Ian Murray : It is 8 in Scotland, 6 in England.  ","the maximal amount of people allowed to meet in outdoor spaces is 8 in Scotland, 6 in England",,Asserting
543171,543172,543173,Ian Murray : Why don't we get a common approach.,xxx is why we don't get a common approach,,Pure Questioning
543177,543178,543179,"Helen Whately : if people follow social distancing, if people are following social distancing and minimising their contact, so if they are having to go to a work place to work but social distancing in the work place is really important, because that's how you avoid becoming somebody who is a contact of the sort that needs to isolate","if people are following social distancing and minimising their contact, so if they are having to go to a work place to work but social distancing in the work place is really important, because that's how you avoid becoming somebody who is a contact of the sort that needs to isolate, the possibility of doing self-isolation over and over again will be low",,Asserting
543186,543187,543188,Layla McCay : What are we going to do about it?,we are going to do xxx about the social care reform,,Pure Questioning
543190,543191,543192,Layla McCay : What is the Government going to do about it,the Government is going to do xxx about the social care reform,,Pure Questioning
543194,543195,543196,"Ian Murray : I think the chronic underfunding of social care across United Kingdom and Scotland, the chickens are coming home to roost","Ian Murray thinks the chronic underfunding of social care across United Kingdom and Scotland, the chickens are coming home to roost",,Asserting
543198,543199,543200,Ian Murray : There is a problem for a long time,there is a problem for a long time,,Asserting
543202,543203,543204,Ian Murray : We need to have some political consensus to fund social care,we need to have some political consensus to fund social care,,Asserting
543206,543207,543208,Ian Murray : We have been talking about this for too long,we have been talking about this for too long,,Asserting
543210,543211,543212,"Ian Murray : We knew the prevalence of this disease was in older people, it was much more severe in older people","we knew the prevalence of this disease was in older people, it was much more severe in older people",,Asserting
543214,543215,543216,Ian Murray : We knew from the 2014 Report and Task Force for Social Care that there was 34 recommendations,we knew from the 2014 Report and Task Force for Social Care that there was 34 recommendations,,Asserting
543218,543219,543220,Ian Murray : Very few of them were implemented in Scotland,very few of the recommendations of the Task Force for Social Care were implemented in Scotland,,Asserting
543222,543223,543224,Ian Murray : We knew in 2015 that the Scottish Government had said they would eradicate bed blocking,we knew in 2015 that the Scottish Government had said they would eradicate bed blocking,,Asserting
543226,543227,543228,Ian Murray : It was not done,bed blocking has not been eradicated,,Asserting
543230,543231,543232,Ian Murray : We knew from the Silver Swan Report there was a problem with testing if we had a global pandemic,we knew from the Silver Swan Report there was a problem with testing if we had a global pandemic,,Asserting
543234,543235,543236,Ian Murray : All of that has since happened and the decision was made by the Scottish Government to move 912 elderly people from hospital to care homes,all of that has since happened and the decision was made by the Scottish Government to move 912 elderly people from hospital to care homes,,Asserting
543238,543239,543240,Ian Murray : That in itself is a big decision,moving elderly people from hospital to care homes in itself is a big decision,,Asserting
543243,543244,543245,"Ian Murray :  It is a decision I completely agree with John, these big decisions have to be made","it is a decision I completely agree with John, these big decisions have to be made",,Asserting
543247,543248,543249,Ian Murray : The key thing is they were taken from hospital to care homes without testing,the key thing is the elderly people were taken from hospital to care homes without testing,,Asserting
543251,543252,543253,Ian Murray : So we are essentially exporting the disease on the people that it affects the most into care homes,so we are essentially exporting the disease on the people that it affects the most into care homes,,Asserting
543183,543255,543184,"Layla McCay : When we look at this, we think goodness, the moment is here for social care reform.",the moment is here for social care reform,,Asserting
543308,543309,543310,Fiona Bruce : there were other countries before us grappling with this,there were other countries before us grappling with the handling of coronavirus cases,,Asserting
543312,543313,543314,Fiona Bruce : They admitted people from hospitals back into care homes,they admitted people from hospitals back into care homes,,Asserting
543317,543318,543319,"Fiona Bruce : In some cases in some countries they put them into quarantine, special places or quarantine within care homes","in some cases in some countries they put them into quarantine, special places or quarantine within care homes",,Asserting
543323,543324,543325,Fiona Bruce : Is there anything we could have learned from that reasonably,is or is there not anything we could have learned from that reasonably,,Pure Questioning
543328,543329,543330,"Fiona Bruce : or is Alex right, this is the best we could have done in the circumstances","is or is not Alex Massie right, this is the best we could have done in the circumstances",,Pure Questioning
543335,543336,543337,Layla McCay : I look at what other countries have done,Layla McCay looks at what other countries have done,,Asserting
543340,543341,543342,"Layla McCay : As you say, there's been some sort of quarantine centres or interim places to go","as Fiona Bruce says, there's been some sort of quarantine centres or interim places to go",,Asserting
543346,543347,543348,Layla McCay : It is not exactly clear,the situation is not exactly clear,,Asserting
543357,543358,543359,Layla McCay : what has happened with COVID-19 and care homes has been an absolute tragedy,what has happened with COVID-19 and care homes has been an absolute tragedy,,Asserting
543362,543363,543364,Layla McCay : the reasons for that are not quite as clear-cut as sometimes people are assuming,the reasons for what is happening in care homes are not quite as clear-cut as sometimes people are assuming,,Asserting
543372,543373,543374,"Layla McCay : we hear people say, ""Oh, it is because everyone was sent out of hospital""","we hear people say, ""Oh, it is because everyone was sent out of hospital""",,Asserting
543379,543380,543381,"Layla McCay : when you look at the data, it is not totally clear that that was something that has created this challenge","when you look at the data, it is not totally clear that that was something that has created this challenge",,Asserting
550735,550736,550737,"Fiona Bruce : Tessa, when you said that you want the government to apologise for reparations paid to countries until 2015, for slavery, what are you referring to?","Tessa, when you said that you want the government to apologise for reparations paid to countries until 2015, for slavery, what are you referring to?",,Pure Questioning
550739,550740,550741,"Tessa Unknown : the debts that we were paying off, refers to the 20 million pounds that was paid off to slave owners, when slavery became illegal in 1837","the debts that we were paying off, refers to the 20 million pounds that was paid off to slave owners, when slavery became illegal in 1837",,Asserting
550744,550745,550746,Tessa Unknown : that debt is something that the British Government was paying off until as late as 2015,the slave compensation debt is something that the British Government was paying off until as late as 2015,,Asserting
550756,550757,550758,Robert Buckland : the history of our islands is always with us,the history of our islands is always with us,,Asserting
550761,550762,550763,Fiona Bruce : were we paying off that debt until 2015,we were or were not paying off that debt until 2015,,Pure Questioning
550766,550767,550768,Robert Buckland :  the lady is right,the lady is right that slave compensation repayment lasted until 2015,,Asserting
550773,550774,550775,Robert Buckland : I’ve read reports similarly about that,Robert Buckland has read reports similarly about slave compensation repayment lasting until 2015,,Asserting
550780,550781,550782,Fiona Bruce : That seems extraordinary,slave compensation repayment lasting until 2015 seems extraordinary,,Asserting
550785,550786,550787,Robert Buckland : she makes a very powerful point about the fact that you cannot escape history,Tessa Unknown makes a very powerful point about the fact that you cannot escape history,,Asserting
550790,550791,550792,"Robert Buckland : it would be fundamentally dishonest of us to, through removing statues and airbrushing out history, to then pretend that all was well","it would be fundamentally dishonest of us to, through removing statues and airbrushing out history, to then pretend that all was well",,Asserting
550798,550799,550800,"Robert Buckland : Do you know, totalitarian regimes do that","Do you know, totalitarian regimes airbrush their histories to pretend all is well",,Rhetorical Questioning
550803,550804,550805,Robert Buckland :  communist regimes and other extreme regimes do that sort of thing,communist regimes and other extreme regimes airbrush their histories to pretend all is well,,Asserting
550812,550813,550814,"Robert Buckland : we need to be honest, face up to it, and accept the fact that we are as much prisoners of our history, as anything else","we need to be honest, face up to it, and accept the fact that we are as much prisoners of our history, as anything else",,Asserting
550817,550818,550819,"Robert Buckland : we have a chance through democracy, to break free, and progress","we have a chance through democracy, to break free, and progress",,Asserting
550827,550828,550829,"Female Audience Member 1 : in the wake of the Black Lives Matter protests, will the panel commit to educating the citizens of the UK about the atrocities of the British Empire, take down the statues and the portraits that represent slave traders in the UK, and people who profited from Empire really","in the wake of the Black Lives Matter protests, the panel will or will not commit to educating the citizens of the UK about the atrocities of the British Empire, take down the statues and the portraits that represent slave traders in the UK, and people who profited from Empire really",,Pure Questioning
550831,550832,550833,Female Audience Member 1 : will you apologise for paying off the owners of slaves that the British people were paying off until as late as 2015,the panel will or will not apologise for paying off the owners of slaves that the British people were paying off until as late as 2015,,Pure Questioning
550836,550837,550838,Robert Buckland : we’ve got to confront our history warts and all,we’ve got to confront our history warts and all,,Asserting
550843,550844,550845,Robert Buckland : there are many things we can be proud about with regard to Britain and its history,there are many things we can be proud about with regard to Britain and its history,,Asserting
550849,550850,550851,"Robert Buckland : there’s a lot that we need to confront and be honest about, that is bad about our history","there’s a lot that we need to confront and be honest about, that is bad about our history",,Asserting
550855,550856,550857,"Robert Buckland : applying today’s standards to what may have happened many hundreds of years ago, is a difficult concept, to say the least","applying today’s standards to what may have happened many hundreds of years ago, is a difficult concept, to say the least",,Asserting
550860,550861,550862,"Robert Buckland : rather than using the language of blame and apology, we should be being honest about it","rather than using the language of blame and apology, we should be being honest about Britain's history",,Asserting
550865,550866,550867,"Robert Buckland : being forthright about it, using democratic processes wherever possible to deal with it","being forthright about Britain's history, using democratic processes wherever possible to deal with it",,Asserting
550872,550873,550874,"Robert Buckland : let’s take for example, particular statues to slave traders, that might be in Bristol or elsewhere, use the democratic process to, through a proper decision, decide what to do with that particular memorial or statue","let’s take for example, particular statues to slave traders, that might be in Bristol or elsewhere, use the democratic process to, through a proper decision, decide what to do with that particular memorial or statue",,Asserting
550883,550884,550885,Bernardine Evaristo : or they understand it through a certain prism,British people understand colonial history through a certain prism,,Asserting
550887,550888,550889,"Bernardine Evaristo : where they feel that Britain went and travelled all over the world, in order to help people","where they feel that Britain went and travelled all over the world, in order to help people",,Asserting
550891,550892,550893,Bernardine Evaristo :  there is still a section of society who don’t think slavery was a really bad thing,there is still a section of society who don’t think slavery was a really bad thing,,Asserting
550895,550896,550897,I think it’s really important that we interrogate history,I think it’s really important that we interrogate history,,Asserting
550900,550901,550902,"Bernardine Evaristo : it then led to this conversation that we’re having now, about the rest of the relics of Britain’s murky past","it then led to this conversation that we’re having now, about the rest of the relics of Britain’s murky past",,Asserting
550904,550905,550906,Bernardine Evaristo : then I think it’s really important,then I think it’s really important,,Asserting
550912,550913,550914,Bernardine Evaristo : and I think at least we need to look at that,and I think at least we need to look at that,,Asserting
550916,550917,550918,Bernardine Evaristo : Britain was built on the wealth of slavery and colonialism,Britain was built on the wealth of slavery and colonialism,,Asserting
550920,550921,550922,Bernardine Evaristo : that’s the truth,it is the truth that Britain was built on the wealth of slavery and colonialism,,Asserting
550924,550925,550926,Bernardine Evaristo : and we don’t really admit that,and we don’t really admit that Britain was built on the wealth of slavery and colonialism,,Asserting
550931,550929,550909,"Bernardine Evaristo : the visual symbols, the statues are really toxic, and they really are an affront to our shared humanity","the visual symbols, the statues are really toxic, and they really are an affront to our shared humanity",,Asserting
550960,550962,550964,Bernardine Evaristo : when you have to take the law into your hands and remove a statue,when you have to take the law into your hands and remove a statue,,Asserting
550968,550970,550972,Bernardine Evaristo : nobody died,nobody died during the removal of the statue,,Asserting
550976,550978,550980,"Bernardine Evaristo : it’s just this little tin statue, whatever it was, that was thrown into the river",it’s just this little tin statue that was thrown into the river,,Asserting
550880,551038,550881,Bernardine Evaristo : a lot of people in this country don’t understand the colonial history,a lot of people in Britain don’t understand the colonial history,,Asserting
550928,550930,550932,Fiona Bruce : the people were wrong to tear it down then,the people were or were not wrong to tear the statue down then,,Asserting
550936,550938,550940,Robert Buckland : they were,people were wrong to tear the statue down,,Asserting
550949,550952,550953,Robert Buckland : I absolutely get and understand the huge strength of feeling that’s been engendered as a result of that appalling incident in Minneapolis,Robert Buckland absolutely gets and understands the huge strength of feeling that has been engendered as a result of that appalling incident in Minneapolis,,Asserting
550959,550961,550963,"Robert Buckland : the fact that many people have just had enough, and I get that utterly",Robert Buckland utterly gets the fact that many people have just had enough,,Asserting
550969,550971,550973,Robert Buckland : we all owe it to each other to respect the rule of law,we all owe it to each other to respect the rule of law,,Asserting
550983,550985,550987,"Robert Buckland :  to within that, work for greater equality","we oew to within respecting the law, work for greater equality",,Asserting
550993,550995,550997,Robert Buckland :  the scenes that we saw in Bristol were disturbing,the scenes that we saw in Bristol were disturbing,,Asserting
